"id","Location","Status","Measure","length","LineLength","MeanLength"
1,"Cloates","No Take",1,67.89,73.9364174420162,77.0696575194445
1,"Cloates","No Take",2,75.16,81.6503010278541,77.0696575194445
1,"Cloates","No Take",3,77.14,83.5829355843585,77.0696575194445
1,"Cloates","No Take",4,64,69.5943777478588,77.0696575194445
15,"Cloates","No Take",3,47.68,51.6830856150217,64.6432727638738
15,"Cloates","No Take",4,71.51,77.6468017957948,64.6432727638738
15,"Cloates","No Take",5,72.58,78.6921110641836,64.6432727638738
19,"Cloates","No Take",1,35.76,38.9597133387591,43.088730878481
19,"Cloates","No Take",2,43.3,46.9677702224467,43.088730878481
19,"Cloates","No Take",3,43.82,47.5460479374773,43.088730878481
19,"Cloates","No Take",4,38.54,41.909509608387,43.088730878481
19,"Cloates","No Take",5,36.98,40.0606132853345,43.088730878481
21,"Cloates","No Take",5,65.98,71.6031459792288,69.4383484611931
23,"Cloates","No Take",4,89.39,97.223796208519,84.4153944331543
7,"Cloates","No Take",1,49.63,54.052480993218,70.8400373297127
7,"Cloates","No Take",2,72.4,78.4211764198564,70.8400373297127
7,"Cloates","No Take",3,78.14,84.6961196443416,70.8400373297127
4,"Cloates","No Take",4,51.05,55.3572055770682,55.3572055770682
7,"Cloates","No Take",5,61.13,66.1903722614348,70.8400373297127
6,"Cloates","No Take",1,27.26,29.683662441291,36.5999292861376
6,"Cloates","No Take",2,56.17,60.8257471309752,36.5999292861376
6,"Cloates","No Take",3,26.72,29.0644298356356,36.5999292861376
6,"Cloates","No Take",4,24.84,26.9823812856858,36.5999292861376
6,"Cloates","No Take",5,33.58,36.4434257371002,36.5999292861376
12,"Cloates","No Take",1,48.4,52.7080236850222,56.4027850180835
12,"Cloates","No Take",2,62.99,68.2449672752123,56.4027850180835
12,"Cloates","No Take",3,51.97,56.34256718873,56.4027850180835
12,"Cloates","No Take",4,55.68,60.5290361212795,56.4027850180835
12,"Cloates","No Take",5,40.77,44.1893308201737,56.4027850180835
1,"Cloates","No Take",5,70.67,76.5842557951351,77.0696575194445
15,"Cloates","No Take",1,60.29,65.6750513099265,64.6432727638738
15,"Cloates","No Take",2,45.68,49.5193140344424,64.6432727638738
21,"Cloates","No Take",1,71.96,78.395393334845,69.4383484611931
21,"Cloates","No Take",3,70.49,76.5019886440213,69.4383484611931
21,"Cloates","No Take",4,47.5,51.5491196664678,69.4383484611931
23,"Cloates","No Take",1,63.35,69.0091924880079,84.4153944331543
23,"Cloates","No Take",2,67.68,73.363082657264,84.4153944331543
23,"Cloates","No Take",3,103.72,112.789402619281,84.4153944331543
23,"Cloates","No Take",5,64.33,69.691498192699,84.4153944331543
21,"Cloates","No Take",1,64.61,70.3812655194859,69.4383484611931
21,"Cloates","No Take",2,77.04,83.5737045128999,69.4383484611931
21,"Cloates","No Take",5,48.09,52.1417338445908,69.4383484611931
21,"Cloates","No Take",4,55.62,60.3345815735149,69.4383484611931
21,"Cloates","No Take",3,74.2,80.4642030756839,69.4383484611931
24,"Cloates","No Take",1,54.11,58.9443389959292,102.406483515085
24,"Cloates","No Take",2,83.29,90.498226790354,102.406483515085
24,"Cloates","No Take",3,134.03,145.255154374008,102.406483515085
24,"Cloates","No Take",4,124.75,135.401473832964,102.406483515085
24,"Cloates","No Take",5,75.59,81.933223582169,102.406483515085
