"id","Location","Status","Measure","LineLength","date","MeanLength"
13,"Cloates","No Take",1,11.6644058592473,"20210128",28.7820546611632
13,"Cloates","No Take",2,26.6613630449556,"20210128",28.7820546611632
13,"Cloates","No Take",3,46.0532636034488,"20210128",28.7820546611632
13,"Cloates","No Take",4,50.7164988336663,"20210128",28.7820546611632
13,"Cloates","No Take",5,8.81474196449804,"20210128",28.7820546611632
1,"Cloates","No Take",1,33.0976772369737,"20210128",43.7717501166126
1,"Cloates","No Take",2,47.3128892489785,"20210128",43.7717501166126
1,"Cloates","No Take",3,48.4452624285976,"20210128",43.7717501166126
1,"Cloates","No Take",4,51.3075193962646,"20210128",43.7717501166126
2,"Cloates","No Take",1,38.1745360940869,"20210128",43.7099670552463
2,"Cloates","No Take",2,44.5115933318812,"20210128",43.7099670552463
2,"Cloates","No Take",3,46.1494479379659,"20210128",43.7099670552463
2,"Cloates","No Take",4,61.7644063776016,"20210128",43.7099670552463
18,"Cloates","No Take",2,51.8784146057498,"20210128",45.7660126763786
18,"Cloates","No Take",3,50.6252621130441,"20210128",45.7660126763786
18,"Cloates","No Take",4,48.9465696739533,"20210128",45.7660126763786
18,"Cloates","No Take",5,37.5169566180046,"20210128",45.7660126763786
15,"Cloates","No Take",3,49.9834336096961,"20210128",45.3770489133843
15,"Cloates","No Take",4,32.5535713800794,"20210128",45.3770489133843
15,"Cloates","No Take",5,38.990942495984,"20210128",45.3770489133843
19,"Cloates","No Take",1,55.8114543820614,"20210128",40.327182720644
19,"Cloates","No Take",2,35.083789243686,"20210128",40.327182720644
19,"Cloates","No Take",3,39.21197311652,"20210128",40.327182720644
19,"Cloates","No Take",4,28.5978867652816,"20210128",40.327182720644
19,"Cloates","No Take",5,42.9308100956711,"20210128",40.327182720644
7,"Cloates","No Take",1,39.4031866309095,"20210128",64.2121524308159
7,"Cloates","No Take",2,75.7725699296223,"20210128",64.2121524308159
7,"Cloates","No Take",3,95.0393935473795,"20210128",64.2121524308159
4,"Cloates","No Take",4,56.8659849456451,"20210128",56.8659849456451
7,"Cloates","No Take",5,46.6334596153522,"20210128",64.2121524308159
6,"Cloates","No Take",1,20.0979230095547,"20210128",24.2693884350043
6,"Cloates","No Take",2,35.4491244209747,"20210128",24.2693884350043
6,"Cloates","No Take",3,28.9184199799512,"20210128",24.2693884350043
6,"Cloates","No Take",4,21.7750856691974,"20210128",24.2693884350043
6,"Cloates","No Take",5,15.1063890953435,"20210128",24.2693884350043
1,"Cloates","No Take",5,38.6954022722484,"20210128",43.7717501166126
2,"Cloates","No Take",5,27.9498515346962,"20210128",43.7099670552463
18,"Cloates","No Take",1,39.8628603711413,"20210128",45.7660126763786
15,"Cloates","No Take",1,56.8366126629228,"20210128",45.3770489133843
15,"Cloates","No Take",2,48.5206844182393,"20210128",45.3770489133843
9,"Cloates","No Take",1,23.3022666092524,"20210128",38.0722887459045
9,"Cloates","No Take",2,37.4854473606682,"20210128",38.0722887459045
9,"Cloates","No Take",3,59.5276860814159,"20210128",38.0722887459045
9,"Cloates","No Take",4,42.7718233864306,"20210128",38.0722887459045
9,"Cloates","No Take",5,27.2742202917555,"20210128",38.0722887459045
8,"Cloates","No Take",1,35.121079305961,"20210128",42.6515000041421
8,"Cloates","No Take",2,44.2176057329012,"20210128",42.6515000041421
8,"Cloates","No Take",3,50.9581674689891,"20210128",42.6515000041421
8,"Cloates","No Take",4,46.6172523134314,"20210128",42.6515000041421
8,"Cloates","No Take",5,36.3433951994275,"20210128",42.6515000041421
5,"Cloates","No Take",1,32.8918479026821,"20210128",43.3217636372719
5,"Cloates","No Take",2,38.472881073019,"20210128",43.3217636372719
5,"Cloates","No Take",3,51.1434386240951,"20210128",43.3217636372719
5,"Cloates","No Take",4,50.4116005765458,"20210128",43.3217636372719
5,"Cloates","No Take",5,43.6890500100177,"20210128",43.3217636372719
22,"Cloates","No Take",1,82.2945406344838,"20210128",54.002139836803
22,"Cloates","No Take",2,60.9180349325182,"20210128",54.002139836803
22,"Cloates","No Take",3,39.7814267446867,"20210128",54.002139836803
22,"Cloates","No Take",4,36.7353504648591,"20210128",54.002139836803
22,"Cloates","No Take",5,50.2813464074671,"20210128",54.002139836803
23,"Cloates","No Take",1,44.1423059655688,"20210128",40.7299505511518
23,"Cloates","No Take",2,26.6890330508099,"20210128",40.7299505511518
23,"Cloates","No Take",3,38.7917143540837,"20210128",40.7299505511518
23,"Cloates","No Take",4,56.7558897355368,"20210128",40.7299505511518
23,"Cloates","No Take",5,37.2708096497597,"20210128",40.7299505511518
13,"Cloates","No Take",1,14.6711758078474,"20210321",22.7094996863566
13,"Cloates","No Take",2,21.6146397774915,"20210321",22.7094996863566
13,"Cloates","No Take",3,33.879185527289,"20210321",22.7094996863566
13,"Cloates","No Take",4,27.2792404323531,"20210321",22.7094996863566
13,"Cloates","No Take",5,16.1032568868019,"20210321",22.7094996863566
1,"Cloates","No Take",1,33.5910935383429,"20210321",43.879466163412
1,"Cloates","No Take",2,47.3128892489785,"20210321",43.879466163412
1,"Cloates","No Take",3,60.0022802715823,"20210321",43.879466163412
1,"Cloates","No Take",4,41.7760950855729,"20210321",43.879466163412
2,"Cloates","No Take",1,47.4585905848158,"20210321",41.4898404990546
2,"Cloates","No Take",2,34.6566057484709,"20210321",41.4898404990546
2,"Cloates","No Take",3,40.4297581038002,"20210321",41.4898404990546
2,"Cloates","No Take",4,48.2224979950375,"20210321",41.4898404990546
3,"Cloates","No Take",1,21.6637067553035,"20210321",31.3646999676186
3,"Cloates","No Take",2,29.5080507937344,"20210321",31.3646999676186
3,"Cloates","No Take",3,39.6505225351761,"20210321",31.3646999676186
3,"Cloates","No Take",4,39.4984278183041,"20210321",31.3646999676186
3,"Cloates","No Take",5,26.5027919355748,"20210321",31.3646999676186
18,"Cloates","No Take",2,38.9141297583015,"20210321",39.8748179322372
18,"Cloates","No Take",3,42.6675642860791,"20210321",39.8748179322372
18,"Cloates","No Take",4,38.7549802725406,"20210321",39.8748179322372
18,"Cloates","No Take",5,38.6021899672061,"20210321",39.8748179322372
15,"Cloates","No Take",3,54.1085061580391,"20210321",62.3363619602234
15,"Cloates","No Take",4,60.3986515884614,"20210321",62.3363619602234
15,"Cloates","No Take",5,68.0132836593604,"20210321",62.3363619602234
19,"Cloates","No Take",1,51.0057945364384,"20210321",44.7759580865194
19,"Cloates","No Take",2,43.831677659716,"20210321",44.7759580865194
19,"Cloates","No Take",3,43.6563554853991,"20210321",44.7759580865194
19,"Cloates","No Take",4,41.660466698392,"20210321",44.7759580865194
19,"Cloates","No Take",5,43.7254960526516,"20210321",44.7759580865194
21,"Cloates","No Take",5,52.4093619939953,"20210321",54.572534330692
16,"Cloates","No Take",1,60.2190652871164,"20210321",36.6523101462453
16,"Cloates","No Take",2,24.3236183787565,"20210321",36.6523101462453
16,"Cloates","No Take",3,31.9006284080788,"20210321",36.6523101462453
16,"Cloates","No Take",4,23.2064975628377,"20210321",36.6523101462453
16,"Cloates","No Take",5,43.6117410944372,"20210321",36.6523101462453
7,"Cloates","No Take",1,48.4356383946718,"20210321",67.9139043862266
7,"Cloates","No Take",2,73.5726664847835,"20210321",67.9139043862266
7,"Cloates","No Take",3,78.0300212154289,"20210321",67.9139043862266
4,"Cloates","No Take",4,61.6376704099425,"20210321",61.6376704099425
7,"Cloates","No Take",5,71.6172914500222,"20210321",67.9139043862266
6,"Cloates","No Take",1,30.1209249096274,"20210321",33.9129935791402
6,"Cloates","No Take",2,46.8509905989344,"20210321",33.9129935791402
6,"Cloates","No Take",3,33.677364910544,"20210321",33.9129935791402
6,"Cloates","No Take",4,28.8853738048514,"20210321",33.9129935791402
6,"Cloates","No Take",5,30.0303136717437,"20210321",33.9129935791402
1,"Cloates","No Take",5,36.7149726725835,"20210321",43.879466163412
2,"Cloates","No Take",5,36.6817500631483,"20210321",41.4898404990546
18,"Cloates","No Take",1,40.4352253770587,"20210321",39.8748179322372
15,"Cloates","No Take",1,65.0508879761239,"20210321",62.3363619602234
15,"Cloates","No Take",2,64.1104804191324,"20210321",62.3363619602234
21,"Cloates","No Take",1,83.4308998475285,"20210321",54.572534330692
21,"Cloates","No Take",3,91.6029734750212,"20210321",54.572534330692
21,"Cloates","No Take",4,46.7976663038289,"20210321",54.572534330692
9,"Cloates","No Take",1,20.438915323165,"20210321",29.2168673167547
9,"Cloates","No Take",2,36.2159863002466,"20210321",29.2168673167547
9,"Cloates","No Take",3,40.915842416552,"20210321",29.2168673167547
9,"Cloates","No Take",4,24.4627434764366,"20210321",29.2168673167547
9,"Cloates","No Take",5,24.0508490673735,"20210321",29.2168673167547
8,"Cloates","No Take",1,42.8109119965177,"20210321",49.2215588462237
8,"Cloates","No Take",2,63.8280212511821,"20210321",49.2215588462237
8,"Cloates","No Take",3,46.0043716933533,"20210321",49.2215588462237
8,"Cloates","No Take",4,46.6172523134314,"20210321",49.2215588462237
8,"Cloates","No Take",5,46.8472369766338,"20210321",49.2215588462237
5,"Cloates","No Take",1,37.4067860108645,"20210321",31.0485589033698
5,"Cloates","No Take",2,31.9141252982616,"20210321",31.0485589033698
5,"Cloates","No Take",3,31.5641823316464,"20210321",31.0485589033698
5,"Cloates","No Take",4,30.1945866595064,"20210321",31.0485589033698
5,"Cloates","No Take",5,24.1631142165702,"20210321",31.0485589033698
12,"Cloates","No Take",1,38.1034729965696,"20210321",42.713522457076
12,"Cloates","No Take",2,47.1441471744436,"20210321",42.713522457076
12,"Cloates","No Take",3,52.0489095882053,"20210321",42.713522457076
12,"Cloates","No Take",4,44.6098375411116,"20210321",42.713522457076
12,"Cloates","No Take",5,31.6612449850499,"20210321",42.713522457076
22,"Cloates","No Take",1,43.6292686142369,"20210321",41.7824998568056
22,"Cloates","No Take",2,45.9337129693947,"20210321",41.7824998568056
22,"Cloates","No Take",3,37.6929103102933,"20210321",41.7824998568056
22,"Cloates","No Take",4,42.5935170234543,"20210321",41.7824998568056
22,"Cloates","No Take",5,39.0630903666489,"20210321",41.7824998568056
21,"Cloates","No Take",1,42.4904854879097,"20210321",54.572534330692
21,"Cloates","No Take",2,40.2662985197894,"20210321",54.572534330692
21,"Cloates","No Take",3,55.3137413885981,"20210321",54.572534330692
21,"Cloates","No Take",4,41.786239635565,"20210321",54.572534330692
21,"Cloates","No Take",5,37.055142323992,"20210321",54.572534330692
23,"Cloates","No Take",1,46.1040643581381,"20210321",43.3084015579967
23,"Cloates","No Take",2,39.0620733677457,"20210321",43.3084015579967
23,"Cloates","No Take",3,54.4487228723044,"20210321",43.3084015579967
23,"Cloates","No Take",4,47.363012226023,"20210321",43.3084015579967
23,"Cloates","No Take",5,29.5641349657721,"20210321",43.3084015579967
13,"Cloates","No Take",1,25.2869977726732,"20210421",32.8045407953088
13,"Cloates","No Take",2,22.6790507999744,"20210421",32.8045407953088
13,"Cloates","No Take",3,39.5089397410911,"20210421",32.8045407953088
13,"Cloates","No Take",4,45.2441386810076,"20210421",32.8045407953088
13,"Cloates","No Take",5,31.3035769817977,"20210421",32.8045407953088
1,"Cloates","No Take",1,48.348501099385,"20210421",47.7586505730055
1,"Cloates","No Take",2,55.5197802074831,"20210421",47.7586505730055
1,"Cloates","No Take",3,46.293832150729,"20210421",47.7586505730055
1,"Cloates","No Take",4,47.8540163541107,"20210421",47.7586505730055
18,"Cloates","No Take",2,37.7569793670305,"20210421",37.9005913596486
18,"Cloates","No Take",3,40.6923009327092,"20210421",37.9005913596486
18,"Cloates","No Take",4,37.0379046011854,"20210421",37.9005913596486
18,"Cloates","No Take",5,37.1784306157108,"20210421",37.9005913596486
15,"Cloates","No Take",3,59.5858727301157,"20210421",58.1364464472992
15,"Cloates","No Take",4,62.72212076974,"20210421",58.1364464472992
15,"Cloates","No Take",5,58.373035304078,"20210421",58.1364464472992
19,"Cloates","No Take",1,55.0696407974759,"20210421",49.1421768609807
19,"Cloates","No Take",2,55.6221155556727,"20210421",49.1421768609807
19,"Cloates","No Take",3,54.6271981830169,"20210421",49.1421768609807
19,"Cloates","No Take",4,36.9193877179605,"20210421",49.1421768609807
19,"Cloates","No Take",5,43.4725420507772,"20210421",49.1421768609807
21,"Cloates","No Take",5,63.5903572523459,"20210421",56.8437173131497
16,"Cloates","No Take",1,68.2147910293541,"20210421",59.1737520682454
16,"Cloates","No Take",2,49.0306469963083,"20210421",59.1737520682454
16,"Cloates","No Take",3,73.6311139389943,"20210421",59.1737520682454
16,"Cloates","No Take",4,51.6786407898731,"20210421",59.1737520682454
16,"Cloates","No Take",5,53.3135675866974,"20210421",59.1737520682454
7,"Cloates","No Take",1,63.3383542358147,"20210421",73.7538357808066
7,"Cloates","No Take",2,72.8055758189636,"20210421",73.7538357808066
7,"Cloates","No Take",3,75.4554162988997,"20210421",73.7538357808066
4,"Cloates","No Take",4,61.5258812731362,"20210421",61.5258812731362
7,"Cloates","No Take",5,83.4159967695484,"20210421",73.7538357808066
6,"Cloates","No Take",1,43.8027396306607,"20210421",39.9005443651544
6,"Cloates","No Take",2,59.860625335902,"20210421",39.9005443651544
6,"Cloates","No Take",3,29.5626345873422,"20210421",39.9005443651544
6,"Cloates","No Take",4,23.7226803047492,"20210421",39.9005443651544
6,"Cloates","No Take",5,42.5540419671179,"20210421",39.9005443651544
1,"Cloates","No Take",5,40.7771230533195,"20210421",47.7586505730055
18,"Cloates","No Take",1,36.8373412816072,"20210421",37.9005913596486
15,"Cloates","No Take",1,48.6425292484387,"20210421",58.1364464472992
15,"Cloates","No Take",2,61.3586741841235,"20210421",58.1364464472992
21,"Cloates","No Take",1,74.489039795663,"20210421",56.8437173131497
21,"Cloates","No Take",3,85.8076111643875,"20210421",56.8437173131497
21,"Cloates","No Take",4,48.2659128335805,"20210421",56.8437173131497
8,"Cloates","No Take",1,58.9476534603759,"20210421",50.0485431157609
8,"Cloates","No Take",2,59.7131119782036,"20210421",50.0485431157609
8,"Cloates","No Take",3,45.6808641038679,"20210421",50.0485431157609
8,"Cloates","No Take",4,45.1960038017051,"20210421",50.0485431157609
8,"Cloates","No Take",5,40.7050822346522,"20210421",50.0485431157609
5,"Cloates","No Take",1,50.7745349353746,"20210421",56.5891657791435
5,"Cloates","No Take",2,56.6341647111012,"20210421",56.5891657791435
5,"Cloates","No Take",3,75.7962893466326,"20210421",56.5891657791435
5,"Cloates","No Take",4,61.386631210986,"20210421",56.5891657791435
5,"Cloates","No Take",5,38.354208691623,"20210421",56.5891657791435
24,"Cloates","No Take",1,55.6239820268979,"20210421",103.990343287407
24,"Cloates","No Take",2,89.4938219038494,"20210421",103.990343287407
24,"Cloates","No Take",3,154.830278496303,"20210421",103.990343287407
24,"Cloates","No Take",4,125.01715385313,"20210421",103.990343287407
24,"Cloates","No Take",5,94.9864801568556,"20210421",103.990343287407
12,"Cloates","No Take",1,23.5238872534434,"20210421",41.5842248752924
12,"Cloates","No Take",2,65.9279540063501,"20210421",41.5842248752924
12,"Cloates","No Take",3,48.0415556368308,"20210421",41.5842248752924
12,"Cloates","No Take",4,44.8731963896735,"20210421",41.5842248752924
12,"Cloates","No Take",5,25.5545310901644,"20210421",41.5842248752924
21,"Cloates","No Take",1,51.5834369750343,"20210421",56.8437173131497
21,"Cloates","No Take",2,39.1932594795704,"20210421",56.8437173131497
21,"Cloates","No Take",3,49.763843409214,"20210421",56.8437173131497
21,"Cloates","No Take",4,61.0844544942919,"20210421",56.8437173131497
21,"Cloates","No Take",5,37.8155404142595,"20210421",56.8437173131497
23,"Cloates","No Take",1,71.6300586753424,"20210421",86.2766547912864
23,"Cloates","No Take",2,69.1681828213302,"20210421",86.2766547912864
23,"Cloates","No Take",3,97.4760759151442,"20210421",86.2766547912864
23,"Cloates","No Take",4,121.172853492349,"20210421",86.2766547912864
23,"Cloates","No Take",5,71.9361030522667,"20210421",86.2766547912864
2,"Cloates","No Take",1,29.9800098015977,"20210421",34.9210104396549
2,"Cloates","No Take",2,39.6782685036716,"20210421",34.9210104396549
2,"Cloates","No Take",3,34.4656087009617,"20210421",34.9210104396549
2,"Cloates","No Take",4,39.4523513040175,"20210421",34.9210104396549
2,"Cloates","No Take",5,31.0288138880262,"20210421",34.9210104396549
22,"Cloates","No Take",1,36.3089565223266,"20210421",36.2737470234235
22,"Cloates","No Take",2,42.507311305759,"20210421",36.2737470234235
22,"Cloates","No Take",3,35.3955422266485,"20210421",36.2737470234235
22,"Cloates","No Take",4,34.820714928365,"20210421",36.2737470234235
22,"Cloates","No Take",5,32.3362101340183,"20210421",36.2737470234235
13,"Cloates","No Take",1,35.3263985008088,"20210521",33.6658566939273
13,"Cloates","No Take",2,22.6790507999744,"20210521",33.6658566939273
13,"Cloates","No Take",3,38.5484498764041,"20210521",33.6658566939273
13,"Cloates","No Take",4,46.7626667142506,"20210521",33.6658566939273
13,"Cloates","No Take",5,25.0127175781984,"20210521",33.6658566939273
1,"Cloates","No Take",1,70.4660709940442,"20210521",67.9943286792302
1,"Cloates","No Take",2,67.1504994406537,"20210521",67.9943286792302
1,"Cloates","No Take",3,58.9159080785919,"20210521",67.9943286792302
1,"Cloates","No Take",4,59.5113411130822,"20210521",67.9943286792302
3,"Cloates","No Take",1,45.1800631082967,"20210521",62.0888836851862
3,"Cloates","No Take",2,66.3968855089394,"20210521",62.0888836851862
3,"Cloates","No Take",3,80.518688388162,"20210521",62.0888836851862
3,"Cloates","No Take",4,61.1324594172038,"20210521",62.0888836851862
3,"Cloates","No Take",5,57.2163220033289,"20210521",62.0888836851862
18,"Cloates","No Take",2,42.5779440817507,"20210521",43.5084872126371
18,"Cloates","No Take",3,35.9846308075296,"20210521",43.5084872126371
18,"Cloates","No Take",4,49.625065039524,"20210521",43.5084872126371
18,"Cloates","No Take",5,47.5500342603708,"20210521",43.5084872126371
15,"Cloates","No Take",3,59.5858727301157,"20210521",63.9074263111202
15,"Cloates","No Take",4,73.584700908573,"20210521",63.9074263111202
