halo_id,location,patch_reef_area,halo_lat,halo_lon
1,Cloates,147.9727742,-22.63372152,113.6381721
2,Cloates,79.48282541,-22.63347192,113.6395115
3,Cloates,196.6330129,-22.63417897,113.6399889
4,Cloates,74.43987055,-22.6334698,113.6413304
5,Cloates,298.0005257,-22.63040747,113.6373775
6,Cloates,185.0166354,-22.62598991,113.6408145
7,Cloates,225.8279168,-22.62501057,113.6407437
8,Cloates,476.6867907,-22.62643476,113.6369376
9,Cloates,171.3848326,-22.6266034,113.6350472
10,Cloates,401.3985056,-22.62592899,113.6330716
11,Cloates,224.60815,-22.62439329,113.6370465
12,Cloates,343.7859518,-22.6283481,113.6485078
13,Cloates,597.7323378,-22.61194734,113.6360699
14,Cloates,121.9705299,-22.61031824,113.6369399
15,Cloates,484.4716716,-22.66601049,113.6460199
16,Cloates,161.9474863,-22.66842681,113.6466671
17,Cloates,536.3107542,-22.66790258,113.6476639
18,Cloates,190.686175,-22.66291414,113.6444166
19,Cloates,427.762213,-22.66561282,113.6477712
21,Cloates,278.0637795,-22.66685255,113.6503101
22,Cloates,99.5700402,-22.66383827,113.6466401
23,Cloates,88.58788876,-22.67067057,113.6482843
24,Cloates,410.4475857,-22.67075747,113.6451852
25,Cloates,1904.243556,-22.76919003,113.7270313
26,Cloates,1977.699866,-22.77242035,113.7266403
27,Cloates,524.3896946,-22.77108572,113.7271326
28,Cloates,560.0793096,-22.76981221,113.7358896
29,Cloates,1868.128223,-22.7767189,113.7421043
30,Cloates,1329.192785,-22.7741677,113.7341999
31,Cloates,2579.364874,-22.77231556,113.7294155
32,Cloates,857.8132447,-22.78993499,113.7425154
33,Cloates,1480.502286,-22.80291704,113.7314859
34,Cloates,361.6378987,-22.80344545,113.7305966
35,Cloates,391.73364,-22.78687423,113.7409413
36,Cloates,6255.44994,-22.7865977,113.7415402
37,Cloates,148.5467854,-22.85739417,113.7585959
38,Cloates,2014.865847,-22.85771842,113.7594023
